,Unnamed: 0,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
99,sample192,0,0,0,0,0,20480,4,7,4,4,0,1048576,samples/zippedMalware/2a0227b4cdfc519e92594267585edd8b,0
100,sample193,0,0,0,0,0,20480,0,7,4,4,0,1048576,samples/zippedMalware/aa3b4da812359947f009cb3d7933bcf2,0
101,sample194,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/f5780ea3-db13-11e6-be80-80e65024849a.file,0
102,sample195,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/dfc4b5f3559ffbccaf7d003fbf5577f4,0
103,sample196,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/b06911c9f4715ec9db9869892ff4898f,0
104,sample197,0,0,0,0,0,0,0,6,3,4,0,1048576,samples/zippedMalware/bf654d41bc86ac0f2ac9458c3d37c011,0
105,sample198,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/b61dbcfc29b18f9aab80ac7442b73098,0
106,sample199,0,0,0,0,0,88872,0,2,4,4,0,1048576,samples/zippedMalware/e3927b51-d84b-11e6-9987-80e65024849a.file,0
107,sample2,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/e7e973ea7cd27ca6556f632ea0c0e5d7,0
108,sample20,0,0,0,0,0,20480,4,6,4,4,0,1048576,samples/zippedMalware/c55a268fe9a39ae49ed8c14ccc002ca0,0
109,sample200,0,0,0,0,0,20480,5,5,4,4,0,1048576,samples/zippedMalware/1a07f64eee7fe8309dc96ddfb7e3a1d9,0
110,sample201,0,0,0,0,0,0,4,0,3,4,0,1048576,samples/zippedMalware/0999db84e16adf64c15a7b8039484b33,0
